Emotion,BCE_AP,BCE_F1,Focal_AP,Focal_F1
Affection,0.207,0.1607,0.2077,0.2557
Anger,0.1412,0.1131,0.1308,0.0
Annoyance,0.5259,0.4462,0.4033,0.0
Anticipation,0.8171,0.8102,0.7322,0.0
Aversion,0.6399,0.4855,0.3985,0.0
Confidence,0.6584,0.5231,0.5748,0.6482
Disapproval,0.3586,0.2479,0.3589,0.0
Disconnection,0.6103,0.4014,0.5183,0.1374
Disquietment,0.0689,0.0043,0.0554,0.1152
Doubt,0.0957,0.0553,0.1281,0.0278
Embarrassment,0.162,0.0126,0.1545,0.1153
Engagement,0.2193,0.1734,0.1578,0.2686
Esteem,0.1003,0.0539,0.0716,0.1082
Excitement,0.0232,0.0,0.0164,0.037
Fatigue,0.082,0.069,0.061,0.0
Fear,0.0902,0.0781,0.0894,0.1652
Happiness,0.0352,0.0082,0.0476,0.0805
Pain,0.0805,0.0729,0.0931,0.0
Peace,0.1146,0.1411,0.0605,0.0
Pleasure,0.053,0.026,0.0427,0.0662
Sadness,0.1444,0.082,0.1055,0.0275
Sensitivity,0.1313,0.0207,0.1371,0.2212
Suffering,0.0382,0.008,0.0406,0.0184
Surprise,0.0354,0.0,0.028,0.0548
Sympathy,0.1188,0.0427,0.0785,0.1464
Yearning,0.0542,0.1062,0.0109,0.0215
