Emotion,ViT_AP,ViT_F1
Affection,0.1448,0.2065
Anger,0.1398,0.2026
Annoyance,0.1457,0.2241
Anticipation,0.4938,0.4763
Aversion,0.7735,0.0
Confidence,0.5564,0.5209
Disapproval,0.4812,0.3772
Disconnection,0.2987,0.3414
Disquietment,0.5354,0.4803
Doubt,0.0587,0.0897
Embarrassment,0.08,0.1295
Engagement,0.1326,0.1952
Esteem,0.1261,0.1529
Excitement,0.0544,0.0887
Fatigue,0.0157,0.0
Fear,0.0612,0.1007
Happiness,0.0397,0.0579
Pain,0.0271,0.0385
Peace,0.0383,0.062
Pleasure,0.0228,0.0399
Sadness,0.0269,0.0
Sensitivity,0.0462,0.0733
Suffering,0.1239,0.1881
Surprise,0.031,0.0462
Sympathy,0.0208,0.0
Yearning,0.0293,0.0431
